Time [s], Analyzer Name, Decoded Protocol Result
4.126092000000000,I2C,Setup Read to [0xFF] + NAK
4.126204750000000,I2C,Setup Write to [0xA0] + ACK
4.126286750000000,I2C,0x00 + ACK
4.126374625000000,I2C,Setup Read to [0xA1] + ACK
4.126455000000000,I2C,0x09 + ACK
4.126522250000000,I2C,0x16 + NAK
4.126608875000000,I2C,Setup Write to [0xA0] + ACK
4.126690750000000,I2C,0x00 + ACK
4.126772750000000,I2C,0x00 + ACK
4.126860625000000,I2C,Setup Read to [0xA1] + ACK
4.126941125000000,I2C,0x16 + ACK
4.127008375000000,I2C,0x00 + NAK
